corpID,locale,corpName,zip,address,city,enrollment,teacher_count,locale_size
7445,Rural,South Spencer County Sch Corp,46534,321 S 5th Street,Rockport,1205,74,Distant
8020,Rural,South Vermillion Com Sch Corp,46535,PO Box 387,Clinton,1668,122,Fringe
2100,Rural,Southeast Dubois Co Sch Corp,46536,432 E 15th St,Ferdinand,1308,78,Distant
2455,Rural,Southeast Fountain School Corp,46537,744 E US Hwy 136,Veedersburg,1045,73,Distant
3115,Rural,Southern Hancock Co Com Sch Corp,46538,PO Box 508,New Palestine,3770,182,Fringe
8425,Rural,Southern Wells Com Schools,46539,9120 S 300 W,Poneto,862,58,Distant
2110,Rural,Southwest Dubois Co Sch Corp,46540,113 N Jackson St,Huntingburg,1815,93,Fringe
6260,Rural,Southwest Parke Com Sch Corp,46541,4851 S Coxville Rd,Montezuma,1068,82,Distant
7715,Rural,Southwest School Corporation,46542,PO Box 510,Sullivan,1770,104,Fringe
7360,Rural,Southwestern Con Sch Shelby Co,46543,3406 W 600 S,Shelbyville,627,42,Distant
4000,Rural,Southwestern-Jefferson Co Con,46544,239 S Main Cross St,Hanover,1379,81,Fringe
6195,Rural,Spencer-Owen Community Schools,46545,205 E Hillside,Spencer,2503,132,Distant
6160,Rural,Springs Valley Com School Corp,46546,498 S Larry Bird Blvd,French Lick,835,62,Distant
